event_id,metric_x,metric_y,lon,lat,event_year,susceptibility_prob,slope,elevation,aspect_sin,aspect_cos,curvature,dist_to_road_km,rain_24h_obs,rain_48h_prior,rain_72h_prior,rain_7d_prior,api_7d,r24_seasonal_anom,api_seasonal_anom,target_trigger_24h,spatial_block_50km
937,7338678.935487013,1438228.4739427024,76.0593,11.345799989027652,2007,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2052.0924620219726,21.105735778808594,226.20252990722656,392.01556396484375,666.6865844726562,370.4469299316406,-1.0854803959343904,-0.275373,1,146_28
BG_0000,9601074.092648724,3067549.3263987824,99.50714306409915,24.793036954123696,2007,0.002880366053432226,15.88224324226832,1661.0,-0.35995383609688086,-0.9329701152122397,-0.0007963915814549326,366.1301483360096,191.57273864746094,215.8780975341797,322.78704833984375,593.6802368164062,334.78924560546875,1.0124524403632815,-0.59237826,0,192_61
937,7338678.935487013,1438228.4739427024,76.0593,11.345799989027652,2007,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2052.0924620219726,45.886165618896484,261.0264892578125,307.93609619140625,990.958984375,531.3316040039062,-0.7770184037517175,0.9227859,0,146_28
937,7338678.935487013,1438228.4739427024,76.0593,11.345799989027652,2007,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2052.0924620219726,66.53498840332031,125.68624877929688,166.65988159179688,748.0809936523438,360.173583984375,-0.5171320071668342,-0.36176354,0,146_28
25053,7342174.922879344,1438469.7528136722,76.095533,11.34772798902632,2018,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2049.4102381989355,19.506669998168945,126.12506866455078,181.67904663085938,788.7640991210938,380.06390380859375,-1.0861599353511602,-0.19906308,1,146_28
BG_0001,9390038.948696421,3283597.917689151,97.31993941811405,26.66830936646337,2018,0.00252643134444952,11.256302004001354,976.0,0.6439806868364499,0.7650417472149178,-0.016859890769370348,66.61277898555802,43.92245864868164,141.8292694091797,189.06578063964844,740.6434326171875,333.644775390625,-0.7847620840165689,-0.49625278,0,187_65
25053,7342174.922879344,1438469.7528136722,76.095533,11.34772798902632,2018,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2049.4102381989355,64.39076232910156,301.1551513671875,606.75537109375,1065.9921875,592.0477905273438,-0.5509995864300054,1.5744865,0,146_28
25053,7342174.922879344,1438469.7528136722,76.095533,11.34772798902632,2018,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2049.4102381989355,32.76839828491211,170.39012145996094,266.6762390136719,975.8379516601562,447.12969970703125,-0.9154864293911751,0.3951783,0,146_28
25052,7342352.940066408,1438183.9222763316,76.097378,11.345443989027878,2018,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2049.480972537611,19.506669998168945,126.12506866455078,181.67904663085938,788.7640991210938,380.06390380859375,-1.0861599353511602,-0.19906308,1,146_28
BG_0002,9261388.525388807,3485652.3095325283,95.98658484197037,28.44980517989282,2018,0.013215562328696251,17.516511958118926,3025.0,0.3059110736353497,-0.9520600900296513,0.004720565079519962,8.711694792465169,225.3820343017578,308.3843994140625,357.7987365722656,1047.9033203125,560.0252075195312,1.5394077738001881,1.4117343,0,185_69
25052,7342352.940066408,1438183.9222763316,76.097378,11.345443989027878,2018,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2049.480972537611,64.39076232910156,301.1551513671875,606.75537109375,1065.9921875,592.0477905273438,-0.5509995864300054,1.5744865,0,146_28
25052,7342352.940066408,1438183.9222763316,76.097378,11.345443989027878,2018,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2049.480972537611,32.76839828491211,170.39012145996094,266.6762390136719,975.8379516601562,447.12969970703125,-0.9154864293911751,0.3951783,0,146_28
25260,7343388.52731234,1437698.3556626071,76.10811100000001,11.341563989030544,2018,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2049.0744626348096,382.82354736328125,43.822654724121094,220.34906005859375,715.8843994140625,325.8762512207031,3.3098605266269825,-0.64231163,1,146_28
BG_0003,8834278.532648318,3371619.14509826,91.55994520336202,27.440914270809436,2018,0.2199542224407196,43.381549801092646,1313.0,0.3261374517862614,0.9453223590619043,0.0027262010434396873,6.947627420101115,116.19048309326172,188.74940490722656,450.1330871582031,608.0027465820312,353.6883850097656,0.03932714996482708,-0.48802823,0,176_67
25260,7343388.52731234,1437698.3556626071,76.10811100000001,11.341563989030544,2018,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2049.0744626348096,37.943565368652344,173.77195739746094,197.20989990234375,762.4034423828125,344.81182861328125,-0.8701842254502765,-0.556294,0,146_28
25260,7343388.52731234,1437698.3556626071,76.10811100000001,11.341563989030544,2018,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2049.0744626348096,230.6685333251953,401.132568359375,514.8778686523438,784.1005249023438,478.23907470703125,1.497104472356205,0.65156865,0,146_28
24921,7350235.290245224,1437688.96964671,76.17907199999999,11.341488989030573,2018,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2044.1676630012857,382.82354736328125,43.822654724121094,220.34906005859375,715.8843994140625,325.8762512207031,3.3098605266269825,-0.64231163,1,147_28
BG_0004,8739807.93939714,2873912.5905456143,90.580836121682,23.13561623213987,2018,0.00114392617251724,12.689693859260856,989.0,0.01791228833508883,-0.9998395620931393,-2.7153656583149777e-05,64.89884338061283,31.939624786376953,218.30056762695312,286.52545166015625,661.9381713867188,340.8790283203125,-0.9645137154402041,-0.5355207,0,174_57
24921,7350235.290245224,1437688.96964671,76.17907199999999,11.341488989030573,2018,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2044.1676630012857,37.943565368652344,173.77195739746094,197.20989990234375,762.4034423828125,344.81182861328125,-0.8701842254502765,-0.556294,0,147_28
24921,7350235.290245224,1437688.96964671,76.17907199999999,11.341488989030573,2018,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2044.1676630012857,230.6685333251953,401.132568359375,514.8778686523438,784.1005249023438,478.23907470703125,1.497104472356205,0.65156865,0,147_28
25047,7351797.017177364,1439878.5994944528,76.195258,11.358985989018633,2018,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2041.5214919162124,382.82354736328125,43.822654724121094,220.34906005859375,715.8843994140625,325.8762512207031,3.3098605266269825,-0.64231163,1,147_28
BG_0005,9519506.366059503,2889687.170563066,98.66176145774935,23.269869402301072,2018,0.0026471195742487907,9.976122537570449,891.0,-0.37524876110022126,-0.9269241432246487,0.0058698421042434855,415.3680684477837,271.49359130859375,299.86334228515625,419.04412841796875,734.1026611328125,431.45025634765625,2.0693675966324974,0.38517156,0,190_57
25047,7351797.017177364,1439878.5994944528,76.195258,11.358985989018633,2018,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2041.5214919162124,37.943565368652344,173.77195739746094,197.20989990234375,762.4034423828125,344.81182861328125,-0.8701842254502765,-0.556294,0,147_28
25047,7351797.017177364,1439878.5994944528,76.195258,11.358985989018633,2018,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2041.5214919162124,230.6685333251953,401.132568359375,514.8778686523438,784.1005249023438,478.23907470703125,1.497104472356205,0.65156865,0,147_28
25046,7351561.494167273,1440023.2603793773,76.192817,11.360141989017825,2018,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2041.5895268961451,382.82354736328125,43.822654724121094,220.34906005859375,715.8843994140625,325.8762512207031,3.3098605266269825,-0.64231163,1,147_28
BG_0006,9263758.737441448,2585830.3784510572,96.0111501174321,20.705819737547145,2018,0.0008004679111763835,0.3301374117996258,182.0,1.0,6.123233995736766e-17,-0.00024900748311853225,322.0806150697807,152.18748474121094,129.58929443359375,197.2313232421875,569.6236572265625,297.68438720703125,0.5929208312378702,-0.87510455,0,185_51
25046,7351561.494167273,1440023.2603793773,76.192817,11.360141989017825,2018,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2041.5895268961451,37.943565368652344,173.77195739746094,197.20989990234375,762.4034423828125,344.81182861328125,-0.8701842254502765,-0.556294,0,147_28
25046,7351561.494167273,1440023.2603793773,76.192817,11.360141989017825,2018,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2041.5895268961451,230.6685333251953,401.132568359375,514.8778686523438,784.1005249023438,478.23907470703125,1.497104472356205,0.65156865,0,147_28
25050,7352261.5021304935,1439630.4471823967,76.200072,11.357002989019966,2018,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2041.361523223836,382.82354736328125,43.822654724121094,220.34906005859375,715.8843994140625,325.8762512207031,3.3098605266269825,-0.64231163,1,147_28
BG_0007,9366958.114372725,2821863.459768565,97.08072577796045,22.693565077069618,2018,0.0037635774351656437,23.054628699607964,1182.0,0.8407701670286227,-0.5413922110953038,-0.0015512759483364241,308.3458761907854,235.8279571533203,130.1189422607422,160.24935913085938,730.0337524414062,362.8624572753906,1.716990844420201,-0.22637624,0,187_56
25050,7352261.5021304935,1439630.4471823967,76.200072,11.357002989019966,2018,0.999572217464447,19.808476088353594,912.0,-0.10630873532176308,-0.9943331699155405,-0.00011620266741374508,2041.361523223836,37.943565368652344,173.77195739746094,197.20989990234375,762.4034423828125,344.81182861328125,-0.8701842254502765,-0.556294,0,147_28
